Original Point,Similar Responsibility,Optimized Point,Similarity: Original vs Similar,Similarity: Original vs Optimized,Similarity: Similar vs Optimized
Create lists for distribution via Vocus and Cision,Oversee all of Oxfam in Myanmars communications platforms ensuring engaging content and messaging that aligns with Oxfams values and identifying new opportunities for Oxfam in Myanmar to reach targeted audiences,"Administer content distributions comprising media and influencer lists to engage new and targeted audiences, ensuring brand messaging aligns with Oxfam values.",0.0402,0.1988,0.6093
"Organized production of North American Hairstyling Awards, a red carpet event with Giuliana and Bill Rancic, and charged with assisting in",Ability to work collaboratively with a range of diverse colleagues and partners,"Orchestrated a diverse team to produce the North American Hairstyling Awards, a star-studded event, showcasing exceptional collaboration and production management skills.",0.0554,0.6701,0.3315
"all aspects of event planning for major, high-profile promotional events.",Oversee all of Oxfam in Myanmars communications platforms ensuring engaging content and messaging that aligns with Oxfams values and identifying new opportunities for Oxfam in Myanmar to reach targeted audiences,"Oversaw planning and execution of all aspects of high-profile promotional events, ensuring alignment with organizational values and successful audience engagement through innovative use of Adobe Creative Suite and WordPress.",0.185,0.5863,0.2768
"Provide account management services on a range of beauty-oriented accounts including ECRY NY, PIXI Beauty, NY Streets, Beauty",Advise and support on the development of communications materials including multimedia materials human interest stories organizational materials programme success stories blogs events public engagement and social media contents,"Developed and managed multimedia communications materials for ECRY NY, PIXI Beauty, and NY Streets, including social media content and public engagement initiatives",0.1525,0.4312,0.6481
"Collection, Beauty Addicts, and Cosmoprof North America.",Provide strategic and technical guidance to programme teams regarding communications strategy development and implementation,"Developed and executed omnichannel communications strategies, guiding teams in the successful implementation of campaigns across digital and print platforms, leveraging [Adobe Creative Suite] and [WordPress] to enhance brand messaging.",-0.0509,0.1917,0.4539
"Solidify top-tier online placements for clients, and develop media lists and press kits.",Develop and disseminate weekly context trend and media analysis for staff members in coordination with the international policy and communications coordinator,Analyze industry trends and disseminate weekly media analysis reports for staff collaboration.,0.2379,0.3545,0.6597
"Draft pitch letters and organize editorial calendars, coordinate mailings, and send products and press information to publications.",Gather news and information from reliable media sources to inform the programme and influencing agenda,"Collaborated with publications and media to cultivate news and information for influencing agenda and editorial calendars, managing mailings, and disseminating product and press assets.",0.3536,0.6335,0.5882
Entrusted with management of clients' social media accounts.,Advise and support on the development of communications materials including multimedia materials human interest stories organizational materials programme success stories blogs events public engagement and social media contents,"Developed and managed social media strategies for clients, including content creation, community engagement, and performance analysis.",0.3186,0.5623,0.4756
"Charged with building press books for clients' media hits, and with creating event press releases for use in driving additional traffic to client",Oversee all of Oxfam in Myanmars communications platforms ensuring engaging content and messaging that aligns with Oxfams values and identifying new opportunities for Oxfam in Myanmar to reach targeted audiences,"Spearheaded content and messaging development for press books and event press releases, ensuring alignment with Oxfam's values and fostering increased audience engagement through targeted strategies.",0.1854,0.4352,0.6688
sites and businesses.,Provide strategic and technical guidance to programme teams regarding communications strategy development and implementation,"Developed and deployed communications strategies for multiple websites and businesses, leveraging Adobe Creative Suite and WordPress.",0.1856,0.3531,0.4929
"Oversaw three-part red carpet event with Nicky Hilton when she hosted at Chateau Nightclub, and created detailed write-up of event for",Oversee all of Oxfam in Myanmars communications platforms ensuring engaging content and messaging that aligns with Oxfams values and identifying new opportunities for Oxfam in Myanmar to reach targeted audiences,"Managed communications platforms for Oxfam Myanmar, ensuring engaging content and messaging aligned with Oxfam's values, by writing detailed event summaries and identifying opportunities to reach targeted audiences through event planning.",0.0795,0.2494,0.857
client's blog.,Provide strategic and technical guidance to programme teams regarding communications strategy development and implementation,"Developed and executed strategic communications plans using WordPress and Adobe Creative Suite, providing guidance to program teams to enhance communication effectiveness.",0.197,0.3481,0.6929
Managed social media accounts via Hootsuite that better leveraged client services.,Advise and support on the development of communications materials including multimedia materials human interest stories organizational materials programme success stories blogs events public engagement and social media contents,Developed multimedia communications for social media by leveraging client services to successfully engage with audiences and promote organizational initiatives.,0.2776,0.5193,0.5924
"Estimated electric projects with values from $25,000 through $2,000,000.",Meet the delivery programme for the Construction of Energy Projects and ensure they remain within budget,"Managed multi-million dollar electrical project designs, ensuring timely delivery and budget compliance.",0.5056,0.5615,0.5766
"Including; high voltage, HVAC control, electrical distribution, BMS, emergency power, data center, fiber optic, fire alarm, security alarm and card access.",Provide robust governance of projects including review of project programmeriskcostsmargin and other due diligence,"Govern projects by reviewing risk, costs, and margins.",0.1842,0.2816,0.6137
"Managed and supervised facilities and plant operations, repairs, renovation projects and maintenance.",Ensure site activities are compliant with regulations and permits and Veolia internal procedures,"Ensured compliance with regulations, permits, and internal procedures for site operations and maintenance, including HVAC systems.",0.3585,0.4757,0.6204
"Managed all facets of the supervision, management and operations related to construction, maintenance and operations.",Meet the delivery programme for the Construction of Energy Projects and ensure they remain within budget,"Managed supervision of construction, ensuring energy projects met delivery schedules and remained within budget, leveraging expertise in Facilities Management and HVAC operations.",0.3296,0.6746,0.6274
"Including; Life Safety systems, fire alarm, security alarm, surveillance, building envelopes, energy management systems, electrical & HVAC systems, plumbing, sustainability and alternative energy projects, environmental services, recycling and codes compliance with state, city and federal agencies.",Meet the delivery programme for the Construction of Energy Projects and ensure they remain within budget,"Managed construction of electrical & HVAC systems, ensuring timely delivery and adherence to budgets for energy projects.",0.2741,0.4034,0.6451
"Infrastructure management of; water and sewer systems, 13,200 volt and secondary electrical systems, fiber optic and IT systems, fire suppression systems and safe roads & walks.",Ensure site activities are compliant with regulations and permits and Veolia internal procedures,"Ensured regulatory and internal compliance for 13,200-volt electrical systems, water and sewer infrastructure, IT systems, and fire suppression measures.",0.2481,0.6497,0.3496
"Union trades management, supervision and bargaining unit negotiations.",Extensive project management skills and experience,"Led project planning, execution, and negotiations in union trade environments, leveraging building codes and HVAC expertise to achieve desired outcomes.",0.2166,0.5242,0.3495
"Project examples: NY State Prison, Tire Recycling Plant, Re-activated Carbon Plant, Waste Water Treatment Center for the City of New York.",Meet the delivery programme for the Construction of Energy Projects and ensure they remain within budget,Managed the execution and budgeting of large-scale energy project construction,0.3531,0.3255,0.7152
"Commercial, Industrial and Residential Systems.",Meet the delivery programme for the Construction of Energy Projects and ensure they remain within budget,"Spearhead delivery of Energy Project construction programs, ensuring adherence to budget constraints and leveraging expertise in electrical systems and HVAC design.",0.3423,0.3487,0.7682
"Military Police, Leadership Positions, Honorable Discharge as an E-4 Sergeant.",Meet the delivery programme for the Construction of Energy Projects and ensure they remain within budget,"Spearheaded construction delivery initiatives, ensuring projects remained within budgetary constraints.",-0.0036,0.0364,0.5769
Responsible for preparing and posting entries for the daily posting packet.,Ensure compliance with financial regulations and procedures,Ensured compliance with financial regulations and procedures related to financial entries.,0.1705,0.2976,0.8712
Verifies and balances system originated interfaces and posts non-system generated transactions prepared from other sources.,Ensure compliance with financial regulations and procedures,"Managed and ensured financial compliance by processing non-system generated transactions, while maintaining meticulous accuracy.",0.2364,0.5077,0.6918
"System originated interfaces refers to the Credit Union owned system as well as external systems, such as shared branching and ATM",Ensure compliance with financial regulations and procedures,Administered end-to-end system compliance for financial regulations.,0.1539,0.3518,0.8007
transaction networks.,Support accounts portfolio managers,"Assisted transaction network portfolio managers with invoice coding, leveraging QuickBooks expertise.",0.2341,0.5392,0.4931
"A monitor flow of credit union transactions from the various supporting systems into and out of the general ledger daily, and identifies and",Ensure compliance with financial regulations and procedures,"Reconciled daily general ledger transactions, ensuring compliance with financial regulations and procedures.",0.2669,0.6105,0.6641
"resolves errors, omissions, and irregularities to provide accurate records for TFCU and its service organizations.",Ensure compliance with financial regulations and procedures,"Ensure compliance with financial regulations and procedures by resolving errors, omissions, and irregularities, leveraging QuickBooks expertise.",0.2986,0.436,0.7304
Calculates and posts month end and year-end accruals as needed.,Ensure compliance with financial regulations and procedures,Ensure financial compliance through accurate accrual calculations and postings as required.,0.1798,0.4767,0.7558
Responsible for maintaining fixed assets and prepaid sub-ledger accounts.,Bookkeeping and accounts preparation experience,"Prepared and maintained bookkeeping entries and accounts for fixed assets and prepaid sub-ledgers, leveraging QuickBooks expertise and meticulous attention to detail.",0.503,0.6988,0.6766
Prepares budget variance reports for various departments as assigned.,Support accounts portfolio managers,Assisted accounts managers with meticulous budget variance reporting.,0.2362,0.6423,0.6021
Works with that department manager in preparation of annual budget.,Assist with client queries,"Assisted clients with budget preparation, ensuring accuracy and efficiency by utilizing QuickBooks expertise.",0.0471,0.3979,0.4093
Responds to inquiries from that manager regarding budgeted and actual expenses.,Ensure compliance with financial regulations and procedures,"Ensure financial compliance by managing expense budgets, reviewing invoices, and coding expenses per QuickBooks guidelines.",0.3294,0.4738,0.7098
Prepares analyses as requested by manager and other departments.,Ensure compliance with financial regulations and procedures,Validate financial transactions to ensure compliance with regulations and procedures by leveraging invoice coding expertise and meticulous attention to detail.,0.2751,0.3293,0.6681
"Manages the accounts payable function - including employee/volunteer reimbursement - from processing incoming invoices, through cost",Support accounts portfolio managers,"Optimized Experience: Processed invoices for employee reimbursements, demonstrating expertise in invoice coding and QuickBooks.",0.3862,0.6613,0.2322
"center coding, approval by appropriate party, input into the system, to check preparation and mailing.",Bookkeeping and accounts preparation experience,Prepared and processed financial accounts for approval including bookkeeping and account preparations.,0.2096,0.3813,0.7721
Identifies vendors requiring an IRS Form 1099 and prepares the form and transmittal.,Ensure compliance with financial regulations and procedures,Ensure financial regulatory compliance through accurate and timely IRS Form 1099 preparation.,0.2216,0.6914,0.6202
"Manages the Corporate VISA accounts for managers and volunteers, including ordering and canceling cards, processing corporate Visa",Bookkeeping and accounts preparation experience,"Prepared and managed corporate account books using QuickBooks, processing and reconciling Visa expenses with meticulous accuracy to support operational efficiency.",0.369,0.5919,0.6192
"accounts for payment, and resolving discrepancies.",Bookkeeping and accounts preparation experience,"Prepared and reconciled accounts, resolving discrepancies and exhibiting proficiency in invoice coding using QuickBooks.",0.4293,0.5485,0.5554
"Along with other Finance Department staff, processes outgoing and incoming wires, verifies those wires have all required documentation,",Ensure compliance with financial regulations and procedures,Verified incoming and outgoing wire transactions against documentation to guarantee regulatory compliance.,0.4712,0.6769,0.4838
and works with branch staff to ensure incoming wires are posted and resolve issues.,Ensure compliance with financial regulations and procedures,"Ensured compliance with financial regulations by monitoring incoming wire transfers, posting transactions accurately, and promptly resolving discrepancies.",0.2088,0.5283,0.7005
Responsible for assisting with the preparation of financial statements.,Ensure compliance with financial regulations and procedures,"Ensured compliance with financial regulations and procedures, leveraging QuickBooks expertise and meticulous attention to detail.",0.5131,0.5018,0.6524
40hrs Coordinate and supervise employees within Accounts Payable interacting with internal customers and external suppliers monitoring all,Ensure compliance with financial regulations and procedures,"Monitored and ensured compliance with financial procedures while supervising Accounts Payable employees, coordinating invoice coding and QuickBooks systems.",0.2709,0.596,0.634
controls.,Support accounts portfolio managers,Supported portfolio managers with financial account management.,0.1471,0.1669,0.8845
Oversee employee business expense processing for multiple business units leading projects such as system testing and implementation.,Ensure compliance with financial regulations and procedures,"Manage business expense compliance, leveraging Invoice coding familiarity and QuickBooks expertise, overseeing system implementation and testing projects.",0.3449,0.6119,0.4517
Communicate accounting policies practices and procedures with department manager's vendors and internal customers to ensure,Ensure compliance with financial regulations and procedures,"Ensure compliance with financial regulations and procedures through effective communication of accounting policies to department managers, vendors, and internal customers.",0.5085,0.838,0.8024
compliance.,Ensure compliance with financial regulations and procedures,Enforce compliance with financial policies and protocols,0.5798,0.5782,0.8527
"Maintains knowledge of all Credit Union processes which affect the general ledger, including share drafts, ACH, wire transfers, ATM,",Good knowledge of accounts software Sage Xero Iris Excel,"Proficient in accounting software (Sage, Xero, Iris, Excel); maintained knowledge of all Credit Union processes affecting the general ledger, including share drafts, ACH, wire transfers, and ATMs.",0.2651,0.6493,0.6314
"Federal Reserve, and Credit Cards.",Ensure compliance with financial regulations and procedures,Monitored financial transactions to ensure adherence to regulatory standards and credit card policies.,0.4238,0.5207,0.7068
"Responsible for reconciliation of the clearing accounts, including vault, transfer, on us, bond clearing and cashier check clearing among it's",Bookkeeping and accounts preparation experience,"Reconciled clearing accounts, ensuring accurate bookkeeping and accounts preparation, with a focus on data analysis and attention to detail.",0.4662,0.6,0.7881
stock ownership.,Support accounts portfolio managers,"Managed a stock ownership portfolio, utilizing QuickBooks to streamline accounting operations and support investment portfolio managers.",0.3002,0.5555,0.5889
Responsible for preparing month end and posting entries.,Ensure compliance with financial regulations and procedures,Ensured financial compliance by preparing month-end entries that adhered to regulations and procedures.,0.252,0.6155,0.7512
Responsible for assisting with the preparation of financial statements.,Ensure compliance with financial regulations and procedures,"Ensured compliance with financial regulations and procedures, leveraging advanced bookkeeping skills and attention to detail.",0.5131,0.5917,0.7493
Prepare verified processed and maintained a variety of order reconciliation functions.,Prepare VAT returns,"Prepared and maintained value-added tax (VAT) returns, leveraging QuickBooks expertise to ensure reconciliation accuracy.",0.2519,0.3295,0.6495
Use office automated systems to input data generate reports conduct investigations and respond to inquiries.,Ensure compliance with financial regulations and procedures,"Enforced compliance with financial regulations and procedures using QuickBooks expertise in automated office systems to manage data input, reporting, investigations, and inquiries.",0.216,0.6385,0.5925
"Maintains records for vendors and accounts payable, including 1099s and corporate Visa accounts.",Bookkeeping and accounts preparation experience,"Prepared and maintained records for accounts payable, including 1099s and corporate credit card accounts, leveraging expertise in QuickBooks and invoice coding.",0.2912,0.7221,0.5194
40hrs Perform a variety of support duties related to the accounting function within the credit union; assisting the accounting team in,Use accounting software Iris Sage Xero Quickbooks,"Incorporate accounting software Iris Sage, Xero, and QuickBooks into support duties involving the accounting function.",0.2671,0.4558,0.8782
"maintaining the financial, statistical, and accounting records; Accounts Payable processing; posting general ledger entries; reconciling general",Ensure compliance with financial regulations and procedures,Ensure compliance with financial regulations and procedures through rigorous account maintenance and financial reporting.,0.4835,0.6216,0.8626
"ledger accounts as assigned and miscellaneous filing/scanning of checks, invoices and branch daily work.",Bookkeeping and accounts preparation experience,"Managed and prepared bookkeeping accounts, including invoice coding and QuickBooks operations.",0.5591,0.6754,0.7219
"Prepare daily cash flow, examined, and analyzed accounting record, financial statements, ACH, wires, and other financial reports to assess",Ensure compliance with financial regulations and procedures,"Optimized Sentence: Monitored financial compliance through daily cash flow analysis and examination of accounting records, ensuring adherence to regulations and procedures.",0.507,0.676,0.6971
"accuracy, completeness, and conformation to reporting and procedural standards.",Ensure compliance with financial regulations and procedures,"Comply with financial regulations and procedures, ensuring accuracy and thoroughness in reports and documentation with attention to detail.",0.3579,0.5908,0.6992
"Responsible and supervised two Accounting Clerks Staff, scheduling shifts, assigning responsibilities, answering questions, solving problems,",Ensure compliance with financial regulations and procedures,"Supervised and coordinated two Accounting Clerks, ensuring compliance with financial regulations and procedures.",0.2816,0.8242,0.6264
helping with complex transactions and sensitive member relations issues or concerns.,Ensure compliance with financial regulations and procedures,Ensured compliance with financial regulations and procedures by effectively managing complex transactions and resolving sensitive member concerns.,0.4043,0.687,0.8329
"Articulate policies and procedures to members and department staff Maintains files, including filing of general ledger journal vouchers,",Ensure compliance with financial regulations and procedures,Ensure compliance with financial regulations and procedures by communicating policies effectively.,0.3909,0.4652,0.8981
"account payable documentation, and other miscellaneous fillings.",Ensure compliance with financial regulations and procedures,Managed accounts payable documentation and ensured compliance with financial regulations by leveraging QuickBooks expertise.,0.3327,0.6595,0.5603
Print daily account payable checks and inserts checks and invoices into envelopes for mailing.,Ensure compliance with financial regulations and procedures,Ensure compliance by accurately printing and distributing account payable checks and related documentation.,0.3124,0.7207,0.6061
"Verifies and posts details of business transactions, such as funds received and disbursed, and totals accounts, using calculator or computer.",Ensure compliance with financial regulations and procedures,"Ensure compliance with financial regulations and procedures by verifying and posting business transaction details, utilizing QuickBooks expertise.",0.3634,0.5677,0.6868
Responsible for ensuring staff are adequately trained in all phases of their jobs; and informed regarding all credit union products and services,Ensure compliance with financial regulations and procedures,Monitored and enforced adherence to regulatory financial standards and procedures.,0.3935,0.418,0.7763
"Effectively research, track, and resolve or properly refer accounting or documentation problems and discrepancies.",Ensure compliance with financial regulations and procedures,"Ensure financial compliance through thorough research, tracking, and resolution of accounting and documentation discrepancies.",0.3975,0.7467,0.7548
Maintains regular contact with other departments to obtain and convey information and/or to correct transactions.,Ensure compliance with financial regulations and procedures,Communicates effectively with cross-functional teams to ensure adherence to financial regulations and procedures,0.383,0.4585,0.6987
Order cash from the Federal Reserve for the branches and ATMs in a timely manner.,Ensure compliance with financial regulations and procedures,Ensure compliance with financial regulations by managing timely orders for cash fulfillment in line with branch and ATM needs.,0.399,0.6846,0.6945
"40hrs Provided customers with prompt, accurate, courteous and professional banking service.",Ensure compliance with financial regulations and procedures,"Ensured compliance with financial regulations and procedures, providing prompt, accurate, and professional service to customers.",0.2,0.4809,0.7465
Identified and referred sales opportunities to Relationship Bankers about products and services.,Ensure compliance with financial regulations and procedures,Monitored regulatory compliance by reviewing financial transactions and processes.,0.1979,0.2693,0.776
Utilized several mediums such as phone and emails to help customers.,Ensure compliance with financial regulations and procedures,Ensured regulatory compliance by implementing procedures and fostering open communication through phone and email support.,0.0994,0.4646,0.5563
Assisted customers with opening and closing of accounts.,Ensure compliance with financial regulations and procedures,Verified account compliance and processed accounts to ensure regulatory adherence.,0.3002,0.4995,0.5967
Answered and resolved problems that are within my authority.,Ensure compliance with financial regulations and procedures,Ensured compliance with financial regulations and procedures utilizing QuickBooks expertise.,0.2316,0.2123,0.6846
Accepted and processed loan applications and conduct loan interviews.,Ensure compliance with financial regulations and procedures,Monitored and enforced financial regulations and procedures in loan processing and underwriting.,0.3734,0.5201,0.7221
"Assisted members with their financial transactions, involving paying and receiving cash and other negotiable instruments.",Ensure compliance with financial regulations and procedures,Monitored financial activities to ensure adherence to regulatory mandates and internal policies while expertly managing cash flow.,0.3649,0.4659,0.7051
Maintained proper cash levels at the branch.,Support accounts portfolio managers,Supported portfolio management by managing cash flow and ensuring compliance with regulatory requirements.,0.2886,0.4573,0.6395
Responsible for cash shipments to and from main office to the branch.,Ensure compliance with financial regulations and procedures,Ensured compliance with financial regulations by conducting detailed cash shipments.,0.3564,0.6364,0.7193
"Processed all commercial deposits, balanced vault daily.",Support accounts portfolio managers,"Supported accounts portfolio managers by processing commercial deposits and reconciling daily bank balances, leveraging QuickBooks expertise to ensure accuracy.",0.2749,0.4248,0.7517
Responsible for equipment maintenance; assisted staff with balancing problems.,Assist with client queries,Assisted with client troubleshooting and resolved issues related to equipment maintenance.,0.1917,0.6247,0.4815
Did random spot check with staff to ensure cash levels are within predetermined branch limits.,Ensure compliance with financial regulations and procedures,Monitored cash levels through periodic audits to ensure adherence to financial regulations and cash flow analysis.,0.3599,0.5384,0.617
"Extensive knowledge of Section 125 cafeteria plans, FMLA, COBRA, ERISA and HIPAA regulations.",Extensive knowledge and application of the UK Employment law and best practices,"Demonstrated expertise in applying employment law and best practices in the UK, including Section 125 cafeteria plans and FMLA.",0.2989,0.6574,0.6655
"Responsible to analyze and coordinate FMLA, STD, LTD, Military, Personal Leaves and Worker's Compensation.",Assess training needs and develop programs to enhance employee skills and career development,"Developed and delivered employee training programs to enhance skill sets and foster career growth, utilizing HRIS Lawson and FMLA knowledge.",0.31,0.3691,0.7412
Makes determinations and takes appropriate actions(s) based on state and federal regulations.,Drive change initiatives that transform HR functions into a proactive high performing team focused on a positive employee outcome and reducing legal risks,"Drive transformational HR initiatives, ensuring compliance with state and federal regulations while fostering a positive employee environment and mitigating legal risks.",0.3016,0.4609,0.7981
Supervise Benefits administration team.,Drive change initiatives that transform HR functions into a proactive high performing team focused on a positive employee outcome and reducing legal risks,"Managed and transformed HR functions through the supervision of Benefits Administration, leading a team to proactively enhance employee outcomes and mitigate legal risks.",0.3479,0.6395,0.7235
ADA administration and compliance.,Develop and implement HR strategies and initiatives aligned with the overall business strategy,"Developed and implemented HR strategies aligned with business objectives, ensuring compliance with ADA and ERISA regulations.",0.2463,0.6488,0.7298
"Coordinate with employees, managers, HR Partners, and TPA's, to resolve complex leave of absence questions.",Strong written skills with proven ability to draft policies procedures and reports,Draft policies and procedures to resolve complex leave of absence inquiries.,0.1518,0.7857,0.298
Train management on proper leave of absence procedures.,Track record of leading employee relations strategy and change management,"Led employee relations strategy to enhance and train management on leave of absence processes, resulting in improved compliance and reduced absenteeism.",0.1867,0.7333,0.4978
Review and document the Leave of Absence process for all locations.,Conduct interviews and oversee the onboarding process for new employees,"Oversee the interviewing and onboarding processes, ensuring compliance with leave of absence procedures.",0.2297,0.6465,0.6713
Represent organization at personnel-related hearings and investigations.,Manage the recruitment and selection process to ensure the right talent is brought into the organization,Manage recruitment and selection processes to ensure qualified candidates are hired.,0.3729,0.4054,0.8139
Works closely with Safety Manager and Employee Relations Managers to implement preventative measures to reduce WC claims.,Develop strategies to improve employee engagement and retention,"Collaborated with stakeholders to implement employee engagement strategies, reducing lost time and absence rates by [quantifiable achievements]%",0.2992,0.3618,0.7242
Also acts as liaison between team and risk management in communicating changes/developments with TPA's.,Drive change initiatives that transform HR functions into a proactive high performing team focused on a positive employee outcome and reducing legal risks,Championed transformation initiatives to reduce legal risks and enhance employee outcomes while fostering a high-performing HR team.,0.4383,0.4238,0.8039
Prepares reports and statistics for lost time and absence trends.,Conduct interviews and oversee the onboarding process for new employees,"Interviewed and onboarded new hires, effectively managing time and resources to ensure a seamless onboarding process.",0.2213,0.3366,0.8152
Conducted employment verifications and investigations.,Experience in enhancing Employment Relations ER and optimizing general HR processes,Accelerated HR processes through employment verification and investigations.,0.4555,0.6676,0.6927
Facilitated the criminal background check process for new hires.,Conduct interviews and oversee the onboarding process for new employees,"Oversee employee onboarding, including conducting interviews and facilitating background checks using HRIS Lawson.",0.4859,0.5975,0.7483
"Managed all aspects of leave administration, including employee notifications and vendor management, disability programs and health benefits.",Track record of leading employee relations strategy and change management,"Led change management initiatives in employee relations, including leave administration, disability programs, and health benefits, utilizing HRIS Lawson and FMLA compliance.",0.3854,0.5901,0.5685
Acted as liaison between employees and insurance carriers to resolve problems and clarify benefits.,Assess training needs and develop programs to enhance employee skills and career development,"Developed and implemented employee training programs, leveraging a deep understanding of Section 125 cafeteria plans and COBRA to enhance skills and foster career development.",0.2746,0.3526,0.6348
Shadowed employees to determine an accurate description of the duties and skills required for each position.,Conduct interviews and oversee the onboarding process for new employees,"Conducted interviews and managed the onboarding process for new hires, contributing to a streamlined and successful integration.",0.3743,0.3363,0.8359
"Handled understaffing, disputes, terminating employees and administering disciplinary procedures.",Conduct interviews and oversee the onboarding process for new employees,"Facilitated the onboarding of new team members, resolving disputes, and managing disciplinary processes.",0.2967,0.5012,0.5597
"Responsible for directing and planning the day-to-day operations of group benefit programs (group health, dental, vision, long-term disability, worker's compensation, life insurance, supplemental insurances, Health Savings Plan, 401(k) plan and retirement plan).",Support current and future business needs through the development engagement motivation and preservation of human capital,"Developed and implemented employee benefit programs that fostered employee retention and alignment with business objectives, utilizing HRIS Lawson and Section 125 cafeteria plans.",0.1898,0.4743,0.3579
"Investigated new benefit programs, improve existing programs, supervise and monitor benefit administration.",Monitor and evaluate training programs to ensure effectiveness,"Evaluated and enhanced benefit programs, ensuring effectiveness and alignment with training initiatives, leveraging extensive knowledge of Section 125 cafeteria plans in HRIS Lawson.",0.5463,0.488,0.4216
Ensured that all invoices from Vendors are prepared and submitted accurately to Accounting.,Proven ability to build and effectively manage interpersonal relationships at all organisational levels,Forged strong stakeholder relationships to ensure accurate invoice processing.,0.2058,0.6087,0.2928
Coordinated annual open enrollment.,Develop and implement HR strategies and initiatives aligned with the overall business strategy,"Developed and implemented HR strategies and initiatives, including annual open enrollment and disability and leave programs, to align with the overall business strategy.",0.1656,0.4748,0.8011
Coordinated the administration of disability and leave programs.,Support current and future business needs through the development engagement motivation and preservation of human capital,Supported human capital management by administering disability and leave programs.,0.0675,0.6758,0.4247
"Advised employees on eligibility, provisions, and other matters related to disability and leave programs.",Assess training needs and develop programs to enhance employee skills and career development,"Evaluated training needs and designed programs to upskill employees in disability and leave programs (FMLA, COBRA).",0.442,0.5919,0.5562
"Consulted with and advise employees, managers and occasionally HR Managers on eligibility, provisions, and other matters related to disability and leave.",Develop and implement HR strategies and initiatives aligned with the overall business strategy,"Developed and implemented HR strategies that aligned with the overall business strategy, implementing initiatives related to FMLA and ADA administration and compliance.",0.3241,0.4393,0.7887
Assisted in the preparation and maintenance of employee leave communications.,Comprehensive knowledge of the employee life cycle,"Managed employee leave processes, ensuring compliance with FMLA and HRIS Lawson regulations.",0.4325,0.5729,0.4539
Recommended new and/or improved benefit plan processes and/or cost-saving measures.,Bridge management and employee relations by addressing demands grievances or other issues,"Mediated and resolved employee grievances and disputes, ensuring a positive and productive work environment.",0.1586,0.1725,0.6499
"Provided innovative solutions that evolve our benefit offering and strategy Delivered annual financial and plan reporting inclusive of return on investment (ROI), metrics and measures, demographic and plan analytics Analyzed, evaluate and present proposed business initiatives and/or issues.",Manage the recruitment and selection process to ensure the right talent is brought into the organization,"Managed the recruitment process, ensuring the organization secured the most qualified candidates.",0.1822,0.1479,0.7242
"Develop recommendations or solutions that support the business Translated customer needs into effective, valuable solutions and communicate solutions to the business.Ensured effective and efficient operations of our plans Provided communication, training and support to stakeholders Managed vendor partners to ensure the best in class products, programs and service Ensured compliance with all local, State and Federal regulations.",Support current and future business needs through the development engagement motivation and preservation of human capital,"Developed and implemented solutions to support business needs, translating customer requirements into actionable strategies.",0.3395,0.6751,0.4048
"Maintained human resources records by recording new hires, transfers, terminations, changes in job classifications, merit increases and tracking leave time.",Conduct interviews and oversee the onboarding process for new employees,"Oversee the onboarding process and conduct interviews for new hires, leveraging HRIS Lawson to manage employee data.",0.3649,0.4997,0.7898
"Administered and counseled with employees on leaves of absence, FMLA, STD/LTD, Workers Compensation to include documentation, reporting, pay and communication to employee/manager.",Develop strategies to improve employee engagement and retention,"Facilitated employee retention by administering and counseling on leaves of absence, including FMLA and Workers Compensation, ensuring documentation, reporting, and effective communication.",0.3281,0.7904,0.5899
Liaison with TPA managing COBRA enrollments.,Develop and implement HR strategies and initiatives aligned with the overall business strategy,"Developed COBRA enrollment strategies that aligned with business goals, resulting in improved compliance and reduced costs.",0.2068,0.6839,0.3803
"Assisted in preparation of employee separation notices and related documentation Provide communication, training and support to stakeholders Organized and administered various special projects for the human resource department such as policies, new hire booklets, compiling data for audits.",Support current and future business needs through the development engagement motivation and preservation of human capital,"Assisted in developing and implementing human capital strategies to engage, motivate, and retain employees, ensuring alignment with current and future business needs.",0.2812,0.5249,0.6835
Handled Tuition Reimbursement approval.,Develop and implement HR strategies and initiatives aligned with the overall business strategy,"Developed and executed tuition reimbursement policies, aligning with the company's strategic goals.",0.1101,0.7207,0.3688
Immigration process using the E-Verify program.,Conduct interviews and oversee the onboarding process for new employees,"Oversaw immigration onboarding, ensuring compliance with E-Verify program and facilitating a seamless interview and hiring process.",0.3102,0.6968,0.616
Conducted Exit interviews.,Conduct interviews and oversee the onboarding process for new employees,"Overseeing employee onboarding processes, I conducted exit interviews and facilitated employment verifications and investigations.",0.3904,0.6835,0.6716
"Managed daily entries for new hires, status changes, terminations, health benefits and welfare benefits.",Manage the benefits programs,"Managed employee benefits programs, including Section 125 cafeteria plans, covering daily HRIS Lawson entries for onboarding, status updates, separations, and health and welfare benefits administration.",0.5151,0.5492,0.5965
Resolved escalated health benefit issues that derived from the Human Resources Service Center.,Support current and future business needs through the development engagement motivation and preservation of human capital,Supported business goals by resolving complex health benefit issues involving Section 125 cafeteria plans and HRIS Lawson.,0.234,0.5818,0.3439
Conducted monthly audits from carrier's invoices and resolving discrepancies.,Develop and implement HR strategies and initiatives aligned with the overall business strategy,"Developed and implemented monthly HR audit processes, ensuring alignment with business strategy while effectively resolving discrepancies.",0.1612,0.6042,0.6587
